archip;species;common_name;ext_date;story
Chatham;Anthornis Melanocephala;Chatham Bellbird;1906;This bird from the Chatham Islands was admired for its loud, resonant calls. It played a role in dispersing seeds across the islands. Habitat destruction and hunting caused its extinction.
Chatham;Fulica Chathamensis;Chatham Coot;NA;
Chatham;Poodytes Rufescens;Chatham Fernbird;1900;A ground-dwelling bird from the Chatham Islands, it had soft, musical calls. It thrived in dense vegetation. Habitat destruction caused its extinction.
Chatham;Anas Chathamica;Chatham Island Duck;NA;
Chatham;Eudyptes Warhami;Chatham Island Penguin;NA;
Chatham;Tadorna Sp./Chatham;Chatham Island Shelduck;NA;
Chatham;Nestor Chathamensis;Chatham Islands Kaka;NA;
Chatham;Cabalus Modestus;Chatham Rail;1900;A flightless bird from the Chatham Islands, it controlled insects and played a role in M?ori legends. Habitat destruction and predators caused its extinction.
Chatham;Corvus Moriorum;Chatham Raven;NA;
Mascarenes;Dryolimnas Chekei;Cheke'S Wood Rail;1683;
Solomon;Microgoura Meeki;Choiseul Pigeon;1904;This large pigeon from the Solomon Islands was admired for its iridescent plumage. It played a key role in seed dispersal. Hunting and habitat loss caused its extinction.
Line;Prosobonia Cancellata;Christmas Sandpiper;1850;
Hawaii;Xestospiza Conica;Cone-Billed Finch;NA;
Marquesas;Vini Vidivici;Conquered Lorikeet;NA;
Fiji;Megapodius Alimentum;Consumed Scrubfowl;NA;
Sardinia;Athene Angelis;Corsica Owl;NA;
Yucatan;Toxostoma Guttatum;Cozumel Thrasher;NA;
Cuba;Tyto Cravesae;Crave'S Giant Barn Owl;NA;
Aotearoa New Zealand;Pachyornis Australis;Crested Moa;NA;
Palearctic;Tadorna Cristata;Crested Shelduck;NA;
Greek;Athene Cretensis;Cretan Owl;NA;
Neotropic;Cichlocolaptes Mazarbarnetti;Cryptic Treehunter;2007;Known for its secretive habits, this bird's decline was caused by deforestation that prioritized timber exports. The loss of its quiet presence reflects the disregard for the ecological and cultural significance of Brazilian forests.
Cuba;Milvago Carbo;Cuban Caracara;NA;
Cuba;Nesotrochis Picapicensis;Cuban Cave-Rail;NA;
Cuba;Gymnogyps Varonai;Cuban Condor;NA;
Cuba;Grus Cubensis;Cuban Flightless Crane;NA;
Cuba;Ornimegalonyx Minor;Cuban Giant Owl;NA;
Cuba;Ornimegalonyx Gigas;Cuban Giant Owl;NA;
Cuba;Ornimegalonyx Oteroi;Cuban Giant Owl;NA;
Cuba;Ornimegalonyx Acevedoi;Cuban Giant Owl;NA;
Cuba;Bubo Osvaldoi;Cuban Horned Owl;NA;
Cuba;Falco Kurochkini;Cuban Kestrel;NA;
Cuba;Ara Tricolor;Cuban Macaw;1850;The Cuban Macaw, with its brilliant red, yellow, and blue plumage, was a sight to behold in Cuba's forests. Known for its intelligence and playful nature, it was highly sought after as a pet. Its decline was driven by hunting and deforestation.
Cuba;Siphonorhis Daiquiri;Cuban Poorwill;NA;
Cuba;Pulsatrix Arredondoi;Cuban Spectacled Owl;NA;
Cuba;Ciconia Sp./Cuba;Cuban Stork;NA;
Cuba;Scytalopus Sp./Cuba;Cuban Tapaluco;NA;
Cuba;Oscaravis Olsoni;Cuban Teratorn;NA;
Hispaniola;Nesotrochis Debooyi;De Booy'S Rail;NA;
Hispaniola;Nesotrochis Debooyi;De Booy'S Rail;NA;
Madagascar;Coua Delalandei;Delalande'S Coua;1834;
Chatham;Hypotaenidia Dieffenbachii;Dieffenbach'S Rail';1872;
Mascarenes;Raphus Cucullatus;Dodo;1662;Native to Mauritius, the Dodo's story is both tragic and iconic. Its friendly and fearless nature, coupled with its inability to fly, made it easy prey for sailors and introduced animals. Despite its extinction, it remains a powerful symbol of conservation.
Canaries;Puffinus Holeae;Dune Shearwater;NA;
Palearctic;Cygnus Equitum;Dwarf Swan;NA;
Easter;Tytonidae Sp./Easterisland;Easter Island Barn Owl;NA;
Easter;Zapornia Sp./Easterisland;Easter Island Crake;NA;
Easter;Ardeidae Sp./Easterisland;Easter Island Heron;NA;
Easter;Procellariidae Sp.Easterisland;Easter Island Procellariidae;NA;
Easter;Psittacidae Sp./Easterisland1;Easter Island Psitacid Sp1;1600;This vibrant parrot, native to Easter Island, helped sustain forest growth by dispersing seeds. Its beauty added to the island's enigmatic allure. Deforestation and hunting led to its extinction.
Easter;Psittacidae Sp./Easterisland2;Easter Island Psitacid Sp2;NA;
Easter;Rallidae Sp./Easterisland;Easter Island Rail;1510;A secretive, flightless bird, this rail navigated the dense vegetation of Easter Island. Its quiet chirps were a subtle reminder of the island's diverse ecosystem. Habitat destruction and introduced predators caused its extinction.
Aotearoa New Zealand;Emeus Crassus;Eastern Moa;NA;
Marquesas;Pomarea Fluxa;Eiao Monarch;1982;Endemic to the Marquesas, this bird played a crucial role in local folklore and ecosystem balance. Its extinction, caused by introduced predators, highlights the colonial disregard for Indigenous lands and wildlife.
Balearic;Anser Sp./Eivissa;Eivissan Duck;NA;
Balearic;Bubo Sp./Eivissa;Eivissan Eagle-Owl;NA;
Madagascar;Mullerornis Modestus;Elephant Bird 'Mullerornis';NA;
Madagascar;Vorombe Titan;Elephant Bird 'Titan';NA;
Nearctic;Numenius Borealis;Eskimo Curlew;NA;
Tonga;Cettia Sp./Eua;Eua Bush Warbler;NA;
Tonga;Gallinula Sp./Eua;Eua Moorhen;NA;
Tonga;Nycticorax Sp./Eua;Eua Night-Heron;NA;
Tonga;Gallirallus Vekamatolu;Eua Rail;NA;
Tonga;Megapodius Sp./Eua;Eua Scrubfowl;NA;
Tonga;Lalage Sp./Eua;Eua Triller;NA;
Tonga;Zosteropidae Sp./Eua;Eua White-Eye;NA;
Tonga;Eopsaltria Sp.Eua;Eua Yellow Robin;NA;
Aotearoa New Zealand;Circus Teauteensis;Eyle'S Harrier;NA;
Aotearoa New Zealand;Circus Teauteensis;Eyle'S Harrier;NA;
Fernando;Atlantisia Sp./Fernandonoronha;Fernando De Noonha Rail;1503;
Fiji;Anas Sp./Vitilevu;Fiji Teal;NA;
Aotearoa New Zealand;Chenonetta Finschi;Finsch'S Duck;NA;
Lesser Sunda;Tyto Sp./Flores;Flores Barn-Owl;NA;
Lesser Sunda;Leptoptilos Robustus;Flores Giant Stork;NA;
Chatham;Coenocorypha Chathamica;Forbes'S Snipe;NA;
Madagascar;Aepyornis Maximus;Giant Elephant Bird;NA;
Fiji;Natunaornis Gigoura;Giant Flightless Pigeon;NA;
New Caledonia;Sylviornis Neocaledoniae;Giant Flightless Sylviornis;NA;
New Caledonia;Sylviornis Neocaledoniae;Giant Flightless Sylviornis;NA;
Marquesas;Alopecoenas Nui;Giant Ground Dove;NA;
Hawaii;Branta Rhuax;Giant Hawaii Goose;NA;
Hawaii;Hemignathus Vorpalis;Giant Nukupuu;NA;
Bismarck;Porphyrio Sp./Newireland;Giant Swamphen;NA;
Neotropic;Anodorhynchus Glaucus;Glaucous Macaw;NA;
Cuba;Chlorostilbon Elegans;Gould'S Emerald;1840;
New Caledonia;Accipiter Quartus;Gracile Goshawk;NA;
Azores;Rallus Sp./Graciosa;Graciosa Rail;NA;
Cuba;Caracara Sp./Grancayman;Grand Cayman Caracara;NA;
Cuba;Turdus Ravidus;Grand Cayman Thrush;1916;This bird lived in the Cayman Islands and had a melodious song that brightened the mornings. It helped control insect populations. Hurricanes and habitat loss caused its decline.
Palearctic;Pinguinus Impennis;Great Auk;1852;The Great Auk, a majestic flightless bird of the North Atlantic, symbolized strength and resilience. Revered by Indigenous cultures, it was depicted in ancient rock carvings. Hunted for its feathers and meat, it vanished from the wild in the 19th century.
Hawaii;Zapornia Sp./Hawaiilarge;Great Big Island Crake;NA;
Hawaii;Zapornia Sp./Kauaigreat;Great Kauai Crake;NA;
Hawaii;Rhodacanthis Palmeri;Great Koa Finch;1896;This large Hawaiian finch fed on seeds and played a role in forest ecosystems. Habitat destruction and diseases caused its extinction.
Hawaii;Zapornia Severnsi;Great Maui Rail;NA;
Hawaii;Zapornia Ralphorum;Great O Ahu Rail';NA;
Hawaii;Viridonia Sagittirostris;Greater Amakihi;1901;This Hawaiian honeycreeper was bright green and fed on nectar and insects. It helped pollinate native plants. Diseases spread by mosquitoes led to its extinction.
Pitcairn;Alopecoenas Leonpascoi;Ground-Dove;NA;
Windward;Caracara Lutosa;Guadalupe Caracara;1900;This Mexican bird of prey was admired for its intelligence and agility. It was often seen soaring in search of carrion. Hunting wiped it out.
Guadalupe;Hydrobates Macrodactylus;Guadalupe Storm‐Petrel;NA;
Windward;Psittacara Labati;Guadeloupe Parakeet;1800;This vivid parrot, native to the Caribbean island of Guadeloupe, was celebrated for its playful behavior and colorful plumage. Feeding on fruits, it helped spread seeds, sustaining the island's ecosystem. Deforestation and hunting erased its joyful presence.
Windward;Amazona Violacea;Guadeloupe Parrot;1800;
Mariana;Zapornia Sp./Guam;Guam Crake;NA;
Mariana;Myiagra Freycineti;Guam Flightcatcher;1983;This insect-eating bird lived in Guam's forests, where it was an expert at catching insects mid-flight. Its disappearance is linked to the invasive brown tree snake.
Mariana;Todiramphus Cinnamominus;Guam Kingfisher;1986;Celebrated in Chamorro culture, this bird symbolized tropical vibrancy. Colonial militarization and the introduction of invasive species disrupted its habitat, leaving it reliant on captivity for survival.
Mariana;Cf.Vini Sp./Guam;Guam Lorikeet;1943;Brightly colored and playful, this nectar-feeding parrot brought life and vibrancy to Guam's tropical forests. Its social flocks were a common and delightful sight. Predation by invasive brown tree snakes wiped it out.
Marquesas;Hypotaenidia Owstoni;Guam Rail (Ko'Ko') ;1987;This flightless bird, symbolizing resilience, was integral to Guam's ecosystem. Colonial-era introductions of invasive species, such as brown tree snakes, nearly drove it to extinction, though local conservation efforts continue.
Mariana;Acrocephalus Luscinius;Guam Reed Warbler;1969;Thriving in Guam's wetlands, this bird's extinction was caused by invasive brown tree snakes that disrupted its delicate ecosystem.
Mariana;Zosteropidae Sp./Guam;Guam White-Eye;NA;
Neotropic;Amazilia Alfaroana;Guanacaste Hummingbird;NA;
Tonga;Gallirallus Sp./Haafeva;Ha'Afeva Rail;NA;
Aotearoa New Zealand;Hieraaetus Moorei;Haast'S Eagle;NA;
Aotearoa New Zealand;Hieraaetus Moorei;Haast'S Eagle;NA;
Hispaniola;Nesotrochis Steganinos;Haitian Cave-Rail;NA;
Hawaii;Drepanis Pacifica;Hawaii Mamo;1898;This bird had glossy black feathers and a golden crown. Its feathers were prized by Hawaiian royalty for cloaks. Avian diseases wiped it out.
Hawaii;Moho Nobilis;Hawaii Oo;1934;Known for its golden feathers and flute-like song, this honeycreeper was woven into Hawaiian chants and legends. Its extinction reflects the broader loss of cultural and ecological heritage in Hawaii.
Hawaii;Zapornia Sandwichensis;Hawaiian Crake;1884;This secretive waterbird thrived in the wetlands of Hawaii, navigating the reeds with grace. Its gentle chirps were once a hallmark of the islands' natural beauty. The introduction of predators and loss of wetland habitats silenced its song forever.
Hawaii;Corvus Hawaiiensis;Hawaiian Crow (Alal?);2002;Revered by Native Hawaiians as a guardian spirit and ecological keystone, the 'Alal? spread seeds crucial for native plants. Its extinction in the wild reflects the devastating consequences of colonial-driven habitat destruction and disease introduction.
Hawaii;Circus Dossenus;Hawaiian Harrier;NA;
Hawaii;Apteribis Sp./Lanai;Hawaiian Ibis;NA;
Chatham;Diaphorapteryx Hawkinsi;Hawkin'S Rail;1895;A flightless bird from New Zealand, it lived in swamps and fed on small animals. Introduced predators caused its decline.
Aotearoa New Zealand;Pachyornis Elephantopus;Heavy-Footed Moa;NA;
Pitcairn;Bountyphaps Obsoleta;Henderson Archaic Pigeon;NA;
Pitcairn;Ducula Harrisoni';Henderson Imperial Pigeon;NA;
Pitcairn;Prosobonia Sp./Henderson;Henderson Sandpiper;NA;
Hawaii;Corvus Impluviatus;High-Billed Crow;NA;
Hawaii;Orthiospiza Howarthi;Highland Finch;NA;
Madagascar;Aepyornis Hildebrandti;Hildebrandt'S Elephant Bird;NA;
Palearctic;Ophrysia Superciliosa;Himalayan Quail;NA;
Hispaniola;Tyto Ostologa;Hispaniolan Barn Owl;NA;
Hispaniola;Milvago Alexandri;Hispaniolan Caracara;NA;
Hispaniola;Scolopax Brachycarpa;Hispaniolan Woodcock;NA;
Aotearoa New Zealand;Tribonyx Hodgenorum;Hodgen'S Waterhen;1600;
Hawaii;Hemignathus Upupirostris;Hoopoe-Billed Akialoa;NA;
Madagascar;Hovacrex Roberti;Hova Gallinule;NA;
Society;Macropygia Arevarevauupa;Huahine Cuckoo-Dove;NA;
Society;Chroicocephalus Utunui;Huahine Gull;NA;
Society;Gallirallus Storrsolsoni;Huahine Rail;NA;
Society;Aplonis Diluvialis;Huahine Starling;NA;
Society;Porphyrio Mcnabi;Huahine Swamphen;NA;
Aotearoa New Zealand;Heteralocha Acutirostris;Huia;1907;Sacred to M?ori communities, this New Zealand bird's striking sexual dimorphism symbolized nature's balance. Hunting and habitat loss caused its extinction.
Balearic;Rallus Eivissensis;Ibiza Rail;NA;
Chatham;Pterodroma Imberi;Imber'S Petrel;NA;
Tonga;Ducula Sp./Eua;Immense Pigeon;NA;
Nearctic;Campephilus Imperialis;Imperial Woodpecker;NA;
Nearctic;Aiolornis Incredibilis;Incredible Tetraorn;NA;
Marquesas;Cf.Myiagra Sp./Uahuka;Indeterminate Flycatcher;NA;
Sardinia;Bubo Insularis;Insular Eagle-Owl;NA;
Sardinia;Bubo Insularis;Insular Eagle-Owl;NA;
Nearctic;Campephilus Principalis;Ivory-Billed Woodpecker;NA;
Cuba;Caracara Tellustris;Jamaican Caracara;NA;
Cuba;Xenicibis Xympithecus;Jamaican Ibis;NA;
Cuba;Pterodroma Caribbaea;Jamaican Petrel;NA;
Cuba;Siphonorhis Americana;Jamaican Poorwill;NA;
Indo-Malay;Vanellus Macropterus;Javan Lapwing;NA;
Indo-Malay;Rhinoptilus Bitorquatus;Jerdon'S Courser;NA;
Hawaii;Myadestes Myadestinus;Kama'O;1989;The Kama'o's melodious calls echoed through Kaua'i's forests, spreading seeds vital to native plants. Its extinction, driven by introduced diseases and habitat destruction, reflects the colonial disruption of Hawaii's ecological harmony.
New Caledonia;Caloenas Canacorum;Kanaka Or Great Green Pigeon;NA;
Australasia;Dromaius Baudinianus;Kangaroo Island Emu;1827;
Hawaii;Akialoa Stejnegeri;Kauai Akialoa;1969;This Hawaiian bird, with its distinct curved beak, was essential for pollinating native plants. Its extinction is linked to habitat loss and diseases introduced through global trade.
Hawaii;Telespiza Persecutrix;Kauai Finch;NA;
Hawaii;Telespiza Persecutrix;Kauai Finch;NA;
Hawaii;Chloridops Sp./Kauai;Kauai Grosbeak;NA;
Hawaii;Larus Sp./Kauai;Kauai Gull;NA;
Hawaii;Talpanas Lippa;Kauai Mole Duck;NA;
Hawaii;Hemignathus Hanapepe;Kauai Nukupuu;NA;
Hawaii;Moho Braccatus;Kauai Oo;1987;The Kaua'i '?'? had a beautiful, mournful song that resonated through Hawaii's lush forests. It was one of the last native birds to pollinate certain plants. Indigenous Hawaiians viewed the bird as part of the spirit of the land. The last male was recorded singing for a mate that would never come. Habitat destruction and disease brought its story to an end.
Hawaii;Loxioides Kikuchi;Kauai Palila;NA;
Hawaii;Grallistrix Auceps;Kauai Stilt-Owl;NA;
Solomon;Columbidae Sp./Buka2;Kilu Ground-Pigeon;NA;
Australasia;Dromaius Minor;King Island Emu;1850;This diminutive emu, native to King Island, was an extraordinary sight with its bluish-grey feathers. It played a vital role in spreading seeds across its habitat. Tragically, hunting and habitat destruction during European settlement led to its extinction.
Hawaii;Chloridops Regiskongi;King Kong Grosbeak;NA;
Neotropic;Calyptura Cristata;Kinglet Calyptura;NA;
Hawaii;Chaetoptila Angustipluma;Kioea;1900;This Hawaiian bird had vibrant green feathers and fed on nectar and insects. It was rarely seen and is a mystery in many ways. Habitat destruction caused its extinction.
Hawaii;Chloridops Kona;Kona Grosbeak;1894;The Kona Grosbeak, once a vibrant presence in Hawaii's forests, had a distinct call that echoed through the mountains. Known for its strong, curved beak, it feasted on hard seeds that other birds couldn't crack. Habitat loss and invasive species brought its story to a quiet end.
Pohnpei;Zapornia Monasa;Kosrae Crake;1875;
Pohnpei;Aplonis Corvina;Kosrae Starling;1880;
Cuba;Ciconia Maltha;La Brea Stork;NA;
Nearctic;Camptorhynchus Labradorius;Labrador Duck;1875;
Fiji;Ducula Lakeba;Lakeba Imperial Pigeon;NA;
Hawaii;Dysmorodrepanis Munroi;Lanai Hookbill;1920;This Hawaiian bird had a unique, curved beak perfect for opening seeds. It lived in dense forests, playing a key role in the ecosystem. Habitat destruction and diseases caused its extinction.
Hawaii;Akialoa Lanaiensis;Lanai Or Maui Nui Akialoa;1892;
Bahamas;Rallus Sp./Abaco;Large Abaco Flightless Rail;NA;
Solomon;Megapodius Sp./Buka;Large Solomons Islands Megapode;NA;
Saint Helena;Pterodroma Rupinarum;Large St Helena Petrel;1502;
Aotearoa New Zealand;Sceloglaux Albifacies;Laughing Owl (WhaKau);1970;"""Known to M?ori as """"wh?kau,"""" this owl's haunting calls inspired local legends. Its extinction, caused by habitat loss and predators, reflects the ecological damage of colonial settlement in Aotearoa New Zealand."
Canaries;Puffinus Olsoni;Lava Shearwater;NA;
