archip;common_name;species;iucn_category_2021;description;story
None;Austral Rail;Rallus Antarcticus;VU;Vulnerable;
None;Azores Bullfinch;Pyrrhula Murina;VU;Vulnerable;
None;Azuero Parakeet;Pyrrhura Eisenmanni;EN;Endangered;
None;Azure Dollarbird;Eurystomus Azureus;NT;Near Threatened;
None;Azure Jay;Cyanocorax Coeruleus;NT;Near Threatened;
None;Azure-Breasted Pitta;Pitta Steerii;VU;Vulnerable;
None;Azure-Crested Flycatcher;Myiagra Azureocapilla;NT;Near Threatened;
None;Azure-Rumped Tanager;Tangara Cabanisi;VU;Vulnerable;
None;Azure-Shouldered Tanager;Tangara Cyanoptera;NT;Near Threatened;
None;Bacan Myzomela;Myzomela Batjanensis;VU;Vulnerable;
None;Bachman'S Sparrow;Peucaea Aestivalis;NT;Near Threatened;
None;Baer'S Pochard;Aythya Baeri;CR;Critically Endangered;
None;Bahama Lizard-Cuckoo;Coccyzus Bahamensis;NT;Near Threatened;
None;Bahama Nuthatch;Sitta Insularis;CR;Critically Endangered;
None;Bahia Antwren;Herpsilochmus Pileatus;VU;Vulnerable;
None;Bahia Spinetail;Synallaxis Cinerea;NT;Near Threatened;
None;Baird'S Junco;Junco Bairdi;NT;Near Threatened;
None;Baird'S Trogon;Trogon Bairdii;NT;Near Threatened;
None;Bald Parrot;Pyrilia Aurantiocephala;NT;Near Threatened;
None;Balearic Shearwater;Puffinus Mauretanicus;CR;Critically Endangered;
None;Bali Myna;Leucopsar Rothschildi;CR;Critically Endangered;
None;Bananal Antbird;Cercomacra Ferdinandi;NT;Near Threatened;
None;Band-Bellied Crake;Zapornia Paykullii;NT;Near Threatened;
None;Banded Cotinga;Cotinga Maculata;CR;Critically Endangered;
None;Banded Sunbird;Anthreptes Rubritorques;VU;Vulnerable;
None;Banded Yellow Robin;Gennaeodryas Placens;NT;Near Threatened;
None;Band-Tailed Antwren;Myrmotherula Urosticta;VU;Vulnerable;
None;Banggai Crow;Corvus Unicolor;CR;Critically Endangered;
None;Banggai Fruit-Dove;Ramphiculus Subgularis;VU;Vulnerable;
None;Banggai Scops-Owl;Otus Mendeni;VU;Vulnerable;
None;Bannerman'S Weaver;Ploceus Bannermani;VU;Vulnerable;
None;Barbuda Warbler;Setophaga Subita;VU;Vulnerable;
None;Bare-Eyed Antbird;Rhegmatorhina Gymnops;VU;Vulnerable;
None;Bare-Eyed Myna;Streptocitta Albertinae;NT;Near Threatened;
None;Bare-Faced Curassow;Crax Fasciolata;VU;Vulnerable;
None;Bare-Throated Bellbird;Procnias Nudicollis;NT;Near Threatened;
None;Bar-Tailed Godwit;Limosa Lapponica;NT;Near Threatened;
None;Bar-Winged Prinia;Prinia Familiaris;NT;Near Threatened;
None;Asian Crested Ibis;Nipponia Nippon;EN;Endangered;With a brilliant red face and striking white plumage, this majestic bird was once revered in East Asian culture as a symbol of purity. Its raspy calls carry over wetlands and rice paddies, areas increasingly under threat from human activity. Despite a remarkable recovery from near-extinction, the ibis remains vulnerable to habitat destruction.
None;Bar-Winged Wood-Wren;Henicorhina Leucoptera;NT;Near Threatened;
None;Basra Reed-Warbler;Acrocephalus Griseldis;EN;Endangered;
None;Bateleur;Terathopius Ecaudatus;EN;Endangered;
None;Bates'S Weaver;Ploceus Batesi;EN;Endangered;
Colombia;Baudo Guan;Penelope Ortoni;EN;Endangered;
None;Baudo Oropendola;Psarocolius Cassini;VU;Vulnerable;
None;Bay-Breasted Cuckoo;Coccyzus Rufigularis;EN;Endangered;
None;Bay-Capped Wren-Spinetail;Spartonoica Maluroides;NT;Near Threatened;
None;Bay-Ringed Tyrannulet;Phylloscartes Sylviolus;NT;Near Threatened;
None;Bay-Vented Cotinga;Doliornis Sclateri;VU;Vulnerable;
None;Beach Thick-Knee;Esacus Magnirostris;NT;Near Threatened;
None;Asir Magpie;Pica Asirensis;EN;Endangered;This sleek black-and-white bird, found only in Saudi Arabia's mountains, is a symbol of the country's natural beauty. Its harsh, nasal calls resonate through its arid habitat, where human settlements now encroach. Conservation of its unique range is critical for its survival.
South America;Bearded Guan;Penelope Barbata;NT;Near Threatened;
None;Bearded Tachuri;Polystictus Pectoralis;NT;Near Threatened;
None;Bearded Vulture;Gypaetus Barbatus;NT;Near Threatened;
None;Bearded Wood-Partridge;Dendrortyx Barbatus;VU;Vulnerable;
None;Beaudouin'S Snake-Eagle;Circaetus Beaudouini;VU;Vulnerable;
None;Beautiful Jay;Cyanolyca Pulchra;NT;Near Threatened;
None;Beautiful Nuthatch;Sitta Formosa;VU;Vulnerable;
None;Beautiful Treerunner;Margarornis Bellulus;NT;Near Threatened;
None;Atlantic Petrel;Pterodroma Incerta;EN;Endangered;This large petrel, with its dark chocolate plumage and white underparts, nests on inaccessible cliffs in the South Atlantic. Its haunting cries at night are a testament to its elusive nature. Invasive rodents devour its eggs and chicks, threatening its breeding success.
None;Beck'S Petrel;Pseudobulweria Becki;CR;Critically Endangered;
None;Bedford'S Paradise-Flycatcher;Terpsiphone Bedfordi;NT;Near Threatened;
None;Atlantic Yellow-Nosed Albatross;Thalassarche Chlororhynchos;EN;Endangered;Graceful and powerful, this albatross boasts a striking yellow streak along its bill and a wingspan built for oceanic flight. Its haunting cries can be heard across open seas, a soundtrack to its solitary journeys. Overfishing and plastic pollution are endangering this guardian of the southern oceans.
None;Bee Hummingbird;Mellisuga Helenae;NT;Near Threatened;
None;Belding'S Yellowthroat;Geothlypis Beldingi;VU;Vulnerable;
None;Belem Curassow;Crax Pinima;CR;Critically Endangered;
None;Bendire'S Thrasher;Toxostoma Bendirei;VU;Vulnerable;
None;Bengal Florican;Houbaropsis Bengalensis;CR;Critically Endangered;
None;Berlepsch'S Canastero;Asthenes Berlepschi;NT;Near Threatened;
None;Australasian Bittern;Botaurus Poiciloptilus;EN;Endangered;Cloaked in streaky brown feathers, this bird camouflages perfectly among reeds. Its booming calls are often heard but rarely matched to the secretive bird itself. Wetland drainage for farming continues to drive its numbers downward.
None;Australian Painted-Snipe;Rostratula Australis;EN;Endangered;Adorned with intricate white and brown markings, this bird is a vision of grace in Australia's wetlands. Its soft, low-pitched whistles are heard during courtship displays, adding a magical quality to its movements. The draining of wetlands for agriculture has left this species increasingly vulnerable to extinction.
None;Biak Coucal;Centropus Chalybeus;NT;Near Threatened;
None;Biak Flycatcher;Myiagra Atra;NT;Near Threatened;
None;Biak Gerygone;Gerygone Hypoxantha;VU;Vulnerable;
None;Biak Hooded Pitta;Pitta Rosenbergii;VU;Vulnerable;
None;Biak Leaf-Warbler;Phylloscopus Misoriensis;VU;Vulnerable;
None;Biak Lorikeet;Trichoglossus Rosenbergii;VU;Vulnerable;
None;Biak Monarch;Symposiachrus Brehmii;EN;Endangered;
None;Biak Paradise-Kingfisher;Tanysiptera Riedelii;NT;Near Threatened;
None;Bahama Oriole;Icterus Northropi;EN;Endangered;With its vibrant yellow and black feathers, this oriole adds a splash of color to the Bahamian landscape. Known for its sweet melodic calls, it relies on coconut palms for nesting. Hurricanes and disease have drastically reduced its already limited range.
None;Biak Scops-Owl;Otus Beccarii;VU;Vulnerable;
Biak;Biak Scrubfowl;Megapodius Geelvinkianus;NT;Near Threatened;
None;Bahama Swallow;Tachycineta Cyaneoviridis;EN;Endangered;Adorned with iridescent blue feathers and a snow-white underbelly, this swallow adds vibrancy to Bahamian skies. Its delicate, twittering song fills the air as it gracefully darts between palm trees. Coastal development and hurricane damage have decimated its nesting sites, threatening this jewel of the Caribbean.
None;Biak Triller;Lalage Leucoptera;NT;Near Threatened;
None;Biak White-Eye;Zosterops Mysorensis;NT;Near Threatened;
None;Bicknell'S Thrush;Catharus Bicknelli;VU;Vulnerable;
None;Bicol Ground-Warbler;Robsonius Sorsogonensis;NT;Near Threatened;
None;Bahama Warbler;Setophaga Flavescens;EN;Endangered;With its vibrant yellow throat and lively chirping, this warbler thrives in the pine forests of the Bahamas. It nimbly flits through branches, feeding on insects and nectar. Hurricanes and habitat degradation have made it increasingly rare.
None;Bicolored Antpitta;Grallaria Rufocinerea;VU;Vulnerable;
None;Bicolored Antvireo;Dysithamnus Occidentalis;VU;Vulnerable;
None;Bicolored Conebill;Conirostrum Bicolor;NT;Near Threatened;
None;Bioko Speirops;Zosterops Brunneus;VU;Vulnerable;
None;Bahia Tapaculo;Eleoscytalopus Psychopompus;EN;Endangered;A small, ground-dwelling bird, its plumage is as inconspicuous as its movements. Its sharp, rhythmic calls cut through the stillness of Brazil's Atlantic Forest. Rampant deforestation is erasing its habitat and silencing its unique voice.
None;Bismarck Honeyeater;Vosea Whitemanensis;NT;Near Threatened;
None;Bismarck Kingfisher;Ceyx Websteri;VU;Vulnerable;
None;Black Catbird;Melanoptila Glabrirostris;NT;Near Threatened;
None;Black Cinclodes;Cinclodes Maculirostris;NT;Near Threatened;
None;Black Crowned Crane;Balearica Pavonina;VU;Vulnerable;
None;Bahia Tyrannulet;Phylloscartes Beckeri;EN;Endangered;This tiny bird's olive-green feathers provide perfect camouflage in Brazil's dense Atlantic Forest. Its soft, almost conversational chirps are often the only hint of its presence in the canopy. Urban sprawl and illegal logging are erasing its habitat, making this unassuming species an emblem of conservation urgency.
None;Black Cuckoo-Dove;Turacoena Modesta;NT;Near Threatened;
None;Black Grasswren;Amytornis Housei;NT;Near Threatened;
None;Black Honey-Buzzard;Henicopernis Infuscatus;VU;Vulnerable;
None;Black Hornbill;Anthracoceros Malayanus;VU;Vulnerable;
None;Black Inca;Coeligena Prunellei;VU;Vulnerable;
None;Black Mannikin;Lonchura Stygia;NT;Near Threatened;
None;Black Oriole;Oriolus Hosii;NT;Near Threatened;
None;Black Partridge;Melanoperdix Niger;VU;Vulnerable;
None;Black Petrel;Procellaria Parkinsoni;VU;Vulnerable;
None;Black Rosy-Finch;Leucosticte Atrata;EN;Endangered;
None;Black Scoter;Melanitta Americana;NT;Near Threatened;
None;Black Shama;Kittacincla Cebuensis;EN;Endangered;
None;Black Solitary Eagle;Buteogallus Solitarius;NT;Near Threatened;
None;Black Stilt;Himantopus Novaezelandiae;CR;Critically Endangered;
None;Black Swift;Cypseloides Niger;VU;Vulnerable;
South America;Black Tinamou;Tinamus Osgoodi;VU;Vulnerable;
None;Black-And-Chestnut Eagle;Spizaetus Isidori;EN;Endangered;
None;Black-And-Gold Tanager;Bangsia Melanochlamys;VU;Vulnerable;
None;Black-And-Tawny Seedeater;Sporophila Nigrorufa;VU;Vulnerable;
None;Black-And-White Bulbul;Microtarsus Melanoleucos;NT;Near Threatened;
None;Black-And-White Monjita;Xolmis Dominicanus;VU;Vulnerable;
None;Black-And-White Tanager;Conothraupis Speculigera;NT;Near Threatened;
None;Black-And-Yellow Broadbill;Eurylaimus Ochromalus;NT;Near Threatened;
None;Black-Backed Tanager;Tangara Peruviana;VU;Vulnerable;
None;Black-Banded Barbet;Psilopogon Javensis;NT;Near Threatened;
None;Black-Banded Flycatcher;Ficedula Timorensis;NT;Near Threatened;
None;Black-Banded Plover;Charadrius Thoracicus;VU;Vulnerable;
None;Banasura Chilappan;Montecincla Jerdoni;EN;Endangered;With a chestnut crown and subtle olive tones, this bird blends seamlessly into the Western Ghats' undergrowth. Its soft whistles punctuate the morning air, a melody now rarely heard. Habitat loss due to plantation expansion threatens this already elusive species.
None;Banded Ground-Cuckoo;Neomorphus Radiolosus;EN;Endangered;Elusive and striking, this bird is adorned with shimmering green and bronze feathers. Found in Colombia's cloud forests, it emits deep, resonant calls to communicate with its mate. Logging and land conversion have pushed this rare species towards the brink.
None;Black-Bellied Malkoha;Phaenicophaeus Diardi;NT;Near Threatened;
None;Black-Bellied Seedeater;Sporophila Melanogaster;NT;Near Threatened;
None;Banded Wattle-Eye;Platysteira Laticincta;EN;Endangered;This tiny African bird, with its contrasting black, white, and chestnut plumage, is a joy to spot in forest clearings. Its high-pitched, chattering calls add life to the underbrush. Logging and habitat fragmentation are steadily eroding the forests it relies on for survival.
None;Black-Belted Flowerpecker;Dicaeum Haematostictum;VU;Vulnerable;
None;Black-Bibbed Cicadabird;Edolisoma Mindanense;VU;Vulnerable;
None;Black-Billed Flycatcher;Aphanotriccus Audax;NT;Near Threatened;
None;Black-Billed Gull;Larus Bulleri;NT;Near Threatened;
None;Bank Cormorant;Phalacrocorax Neglectus;EN;Endangered;With glossy black feathers and a long, hooked bill, this bird thrives along rocky coasts. Its guttural croaks echo through sea cliffs as it plunges into the waves to fish. Overfishing and coastal development have reduced its prey and nesting sites, threatening its population.
None;Black-Bodied Woodpecker;Hylatomus Schulzii;NT;Near Threatened;
None;Black-Breasted Buttonquail;Turnix Melanogaster;NT;Near Threatened;
None;Socorro Dove;Zenaida Graysoni;EW;Extinct in the Wild;Endemic to the remote Socorro Island of Mexico, the Socorro Dove was a symbol of serenity with its soft cooing calls and russet feathers. It disappeared from the wild due to habitat loss and predation by introduced species like cats. Conservationists are striving to reintroduce the dove to its island home through captive breeding efforts.
None;Black-Breasted Parrotbill;Paradoxornis Flavirostris;VU;Vulnerable;
None;Black-Naped Pheasant-Pigeon;Otidiphaps Insularis;CR;Critically Endangered;This stunning bird of New Guinea, adorned with iridescent black and bronze plumage, was a symbol of elegance in its forested home. Deforestation and hunting have made it one of the world's rarest birds.
None;Black-Breasted Puffleg;Eriocnemis Nigrivestis;EN;Endangered;
None;Black-Capped Piprites;Piprites Pileata;NT;Near Threatened;
None;Black-Capped Vireo;Vireo Atricapilla;NT;Near Threatened;
None;Black-Cheeked Lovebird;Agapornis Nigrigenis;VU;Vulnerable;
None;Blue-Bearded Helmetcrest;Oxypogon Cyanolaemus;CR;Critically Endangered;A high-altitude hummingbird from Colombia with a shimmering blue 'beard,' it depended on the delicate paramo ecosystem. Habitat destruction for agriculture has left it clinging to survival.
None;Black-Chinned Monarch;Symposiachrus Boanensis;CR;Critically Endangered;
None;Bannerman'S Shearwater;Puffinus Bannermani;EN;Endangered;Sleek and agile, this seabird is a master of the winds, with its streamlined body designed for gliding above waves. It produces soft, repetitive calls that guide it back to its remote island breeding grounds. Rising sea levels and warming oceans now jeopardize its nesting colonies.
None;Bannerman'S Turaco;Tauraco Bannermani;EN;Endangered;This regal bird boasts vivid green feathers and striking crimson wing patches that flash as it glides through forest canopies. Its deep, hooting calls echo in the highlands of Cameroon. Deforestation for agriculture and logging has placed this once-abundant species under threat.
None;Black-Crowned Barwing;Actinodura Sodangorum;NT;Near Threatened;
None;Black-Crowned Capuchin Babbler;Phyllanthus Rubiginosus;NT;Near Threatened;
None;Barau'S Petrel;Pterodroma Baraui;EN;Endangered;Gliding over the Indian Ocean with striking black-and-white plumage, this seabird breeds on remote cliffs of Reunion Island. Its haunting calls fill the night air during the breeding season. Predation by invasive species like rats threatens its colonies.
None;Bare-Necked Umbrellabird;Cephalopterus Glabricollis;EN;Endangered;A large, crow-like bird with an extravagant wattle, this species is a spectacle in the rainforests of Central America. Males perform booming courtship displays, their sounds reverberating through the trees. Deforestation and hunting have severely fragmented its population.
None;Black-Eared Miner;Manorina Melanotis;EN;Endangered;
None;Black-Faced Pitta;Pitta Anerythra;VU;Vulnerable;
None;Black-Faced Spoonbill;Platalea Minor;EN;Endangered;
None;Black-Footed Albatross;Phoebastria Nigripes;NT;Near Threatened;
None;Black-Fronted Brush-Finch;Atlapetes Nigrifrons;NT;Near Threatened;
None;Black-Fronted Francolin;Pternistis Atrifrons;EN;Endangered;
None;Black-Fronted Tern;Chlidonias Albostriatus;EN;Endangered;
None;Black-Fronted Wood-Quail;Odontophorus Atrifrons;VU;Vulnerable;
None;Black-Girdled Barbet;Capito Dayi;VU;Vulnerable;
None;Black-Headed Berryeater;Carpornis Melanocephala;VU;Vulnerable;
None;Black-Headed Ibis;Threskiornis Melanocephalus;NT;Near Threatened;
None;Black-Headed Kingfisher;Actenoides Capucinus;NT;Near Threatened;
None;Black-Headed Parrotbill;Paradoxornis Margaritae;VU;Vulnerable;
None;Black-Hooded Antwren;Formicivora Erythronotos;EN;Endangered;
None;Black-Hooded Coucal;Centropus Steerii;CR;Critically Endangered;
None;Blackish Cinclodes;Cinclodes Antarcticus;NT;Near Threatened;
None;Blackish-Breasted Babbler;Stachyris Humei;NT;Near Threatened;
None;Blackish-Grey Antshrike;Thamnophilus Nigrocinereus;NT;Near Threatened;
None;Blackish-Headed Spinetail;Synallaxis Tithys;VU;Vulnerable;
None;Black-Legged Dacnis;Dacnis Nigripes;NT;Near Threatened;
None;Black-Legged Kittiwake;Rissa Tridactyla;VU;Vulnerable;
None;Black-Lored Parrot;Tanygnathus Gramineus;VU;Vulnerable;
None;Black-Masked Finch;Coryphaspiza Melanotis;VU;Vulnerable;
None;Black-Necked Crane;Grus Nigricollis;NT;Near Threatened;
None;Black-Necked Stork;Ephippiorhynchus Asiaticus;NT;Near Threatened;
None;Blackpoll Warbler;Setophaga Striata;NT;Near Threatened;
